ESWMinima	None
Con1Maxima	49
Pressure	Loading
0.01	3.8110172991000004
0.01	3.8110172991000004
0.01	3.8110172991000004
0.02	3.9376631492
0.02	3.9376631492
0.04	4.0997255648
0.04	4.0997255648
0.05	4.1608448793
0.05	4.1608448793
0.05	4.1608448793
0.06	4.2035308321
0.06	4.2035308321
0.08	4.255883391499999
0.08	4.255883391499999
0.1	4.302821106100001
0.1	4.302821106100001
0.1	4.302821106100001
0.2	4.4596908979
0.2	4.4596908979
0.4	4.5676878415
0.4	4.5676878415
0.5	4.6048001524
0.5	4.6048001524
0.5	4.6048001524
0.6	4.615502041
0.6	4.615502041
0.8	4.6540387587
0.8	4.6540387587
1.0	4.7059009063
5.0	4.9549623037
10.0	5.0561721651
20.0	5.1383479056
30.0	5.2354356182
40.0	5.2545476595
50.0	5.2768576781
60.0	5.310586319
70.0	5.3410264729
80.0	5.3481405917
90.0	5.3721672424
100.0	5.371994234500001
150.0	5.4044284628
200.0	5.4293150032
250.0	5.4347350935000005
300.0	5.4314817995
350.0	5.4422024767
400.0	5.4467034501
450.0	5.4703304848
500.0	5.465568425700001
550.0	5.4484176025
600.0	5.4739942674
650.0	5.4798042456
700.0	5.4670847253
750.0	5.482197792899999
800.0	5.4700043066
850.0	5.4735044279
900.0	5.4735553574
950.0	5.482720679500001
1000.0	5.4761371726
1500.0	5.4806352848
2000.0	5.4906114745000005
2500.0	5.489902466
3000.0	5.498040040599999
3500.0	5.4927784138
4000.0	5.4975433341
4500.0	5.4946200332
5000.0	5.491878991599998
5500.0	5.5003600548
6000.0	5.5219082755
6500.0	5.520649485
7000.0	5.5173404927
7500.0	5.5108203616
8000.0	5.519049495
8500.0	5.5381612502
9000.0	5.5071128024
9500.0	5.523058912100001
10000.0	5.5120750033000006
11000.0	5.5559156461
12000.0	5.521043474
13000.0	5.5394553765999985
14000.0	5.5394553765999985
15000.0	5.5382931521000005
16000.0	5.5315776001
17000.0	5.5786459768
18000.0	5.5911849546
19000.0	5.6026844539
20000.0	5.570665196699999
21000.0	5.5203851089999985
22000.0	5.620703225900002
23000.0	5.540124328099999
25000.0	5.5904745155
27000.0	5.553017524
28000.0	5.5625250471
30000.0	5.5207424744
35000.0	5.515737069199999
40000.0	5.772958930900002
45000.0	5.5377086063
50000.0	5.6036898839
55000.0	5.6626434513
60000.0	5.6735881615
70000.0	5.8573523972000014
80000.0	5.729313136699999
90000.0	5.729313136699999
100000.0	5.729313136699999
